geo_id,do_date,total_pop,households,male_pop,female_pop,median_age,male_under_5,male_5_to_9,male_10_to_14,male_15_to_17,male_18_to_19,male_20,male_21,male_22_to_24,male_25_to_29,male_30_to_34,male_35_to_39,male_40_to_44,male_45_to_49,male_50_to_54,male_55_to_59,male_60_to_61,male_62_to_64,male_65_to_66,male_67_to_69,male_70_to_74,male_75_to_79,male_80_to_84,male_85_and_over,female_under_5,female_5_to_9,female_10_to_14,female_15_to_17,female_18_to_19,female_20,female_21,female_22_to_24,female_25_to_29,female_30_to_34,female_35_to_39,female_40_to_44,female_45_to_49,female_50_to_54,female_55_to_59,female_60_to_61,female_62_to_64,female_65_to_66,female_67_to_69,female_70_to_74,female_75_to_79,female_80_to_84,female_85_and_over,white_pop,population_1_year_and_over,population_3_years_over,pop_5_years_over,pop_15_and_over,pop_16_over,pop_25_years_over,pop_25_64,pop_never_married,pop_now_married,pop_separated,pop_widowed,pop_divorced,not_us_citizen_pop,black_pop,asian_pop,hispanic_pop,amerindian_pop,other_race_pop,two_or_more_races_pop,hispanic_any_race,not_hispanic_pop,asian_male_45_54,asian_male_55_64,black_male_45_54,black_male_55_64,hispanic_male_45_54,hispanic_male_55_64,white_male_45_54,white_male_55_64,median_income,income_per_capita,income_less_10000,income_10000_14999,income_15000_19999,income_20000_24999,income_25000_29999,income_30000_34999,income_35000_39999,income_40000_44999,income_45000_49999,income_50000_59999,income_60000_74999,income_75000_99999,income_100000_124999,income_125000_149999,income_150000_199999,income_200000_or_more,pop_determined_poverty_status,poverty,gini_index,housing_units,renter_occupied_housing_units_paying_cash_median_gross_rent,owner_occupied_housing_units_lower_value_quartile,owner_occupied_housing_units_median_value,owner_occupied_housing_units_upper_value_quartile,occupied_housing_units,housing_units_renter_occupied,vacant_housing_units,vacant_housing_units_for_rent,vacant_housing_units_for_sale,dwellings_1_units_detached,dwellings_1_units_attached,dwellings_2_units,dwellings_3_to_4_units,dwellings_5_to_9_units,dwellings_10_to_19_units,dwellings_20_to_49_units,dwellings_50_or_more_units,mobile_homes,housing_built_2005_or_later,housing_built_2000_to_2004,housing_built_1939_or_earlier,median_year_structure_built,married_households,nonfamily_households,family_households,households_public_asst_or_food_stamps,male_male_households,female_female_households,children,children_in_single_female_hh,median_rent,percent_income_spent_on_rent,rent_burden_not_computed,rent_over_50_percent,rent_40_to_50_percent,rent_35_to_40_percent,rent_30_to_35_percent,rent_25_to_30_percent,rent_20_to_25_percent,rent_15_to_20_percent,rent_10_to_15_percent,rent_under_10_percent,owner_occupied_housing_units,million_dollar_housing_units,mortgaged_housing_units,different_house_year_ago_different_city,different_house_year_ago_same_city,families_with_young_children,two_parent_families_with_young_children,two_parents_in_labor_force_families_with_young_children,two_parents_father_in_labor_force_families_with_young_children,two_parents_mother_in_labor_force_families_with_young_children,two_parents_not_in_labor_force_families_with_young_children,one_parent_families_with_young_children,father_one_parent_families_with_young_children,father_in_labor_force_one_parent_families_with_young_children,commute_less_10_mins,commute_10_14_mins,commute_15_19_mins,commute_20_24_mins,commute_25_29_mins,commute_30_34_mins,commute_35_44_mins,commute_60_more_mins,commute_45_59_mins,commuters_16_over,walked_to_work,worked_at_home,no_car,no_cars,one_car,two_cars,three_cars,four_more_cars,aggregate_travel_time_to_work,commuters_by_public_transportation,commuters_by_bus,commuters_by_car_truck_van,commuters_by_carpool,commuters_by_subway_or_elevated,commuters_drove_alone,group_quarters,associates_degree,bachelors_degree,high_school_diploma,less_one_year_college,masters_degree,one_year_more_college,less_than_high_school_graduate,high_school_including_ged,bachelors_degree_2,bachelors_degree_or_higher_25_64,graduate_professional_degree,some_college_and_associates_degree,male_45_64_associates_degree,male_45_64_bachelors_degree,male_45_64_graduate_degree,male_45_64_less_than_9_grade,male_45_64_grade_9_12,male_45_64_high_school,male_45_64_some_college,male_45_to_64,employed_pop,unemployed_pop,pop_in_labor_force,not_in_labor_force,workers_16_and_over,armed_forces,civilian_labor_force,employed_agriculture_forestry_fishing_hunting_mining,employed_arts_entertainment_recreation_accommodation_food,employed_construction,employed_education_health_social,employed_finance_insurance_real_estate,employed_information,employed_manufacturing,employed_other_services_not_public_admin,employed_public_administration,employed_retail_trade,employed_science_management_admin_waste,employed_transportation_warehousing_utilities,employed_wholesale_trade,occupation_management_arts,occupation_natural_resources_construction_maintenance,occupation_production_transportation_material,occupation_sales_office,occupation_services,management_business_sci_arts_employed,sales_office_employed,in_grades_1_to_4,in_grades_5_to_8,in_grades_9_to_12,in_school,in_undergrad_college,speak_only_english_at_home,speak_spanish_at_home,speak_spanish_at_home_low_english
42057,2014-01-01,14506.0,5950.0,7360.0,7146.0,45.0,405.0,468.0,384.0,290.0,158.0,135.0,97.0,196.0,392.0,405.0,332.0,517.0,540.0,576.0,492.0,264.0,296.0,156.0,271.0,428.0,283.0,168.0,107.0,318.0,389.0,426.0,268.0,134.0,89.0,63.0,220.0,391.0,372.0,366.0,437.0,495.0,536.0,578.0,196.0,289.0,194.0,316.0,367.0,308.0,214.0,180.0,13954.0,14398.0,14114.0,,,11905.0,10466.0,7474.0,,,,,,46.0,297.0,29.0,76.0,36.0,0.0,114.0,76.0,14430.0,0.0,5.0,6.0,20.0,1.0,0.0,1094.0,1022.0,51259.0,26082.0,394.0,312.0,330.0,293.0,282.0,343.0,340.0,312.0,301.0,553.0,675.0,891.0,374.0,278.0,169.0,103.0,14419.0,1650.0,0.4075,7235.0,680.0,93700.0,156800.0,239100.0,5950.0,1271.0,1285.0,124.0,90.0,5336.0,123.0,103.0,103.0,114.0,144.0,0.0,0.0,1312.0,40.0,145.0,380.0,1975.0,3215.0,1922.0,4028.0,862.0,3.0,3.0,2948.0,615.0,515.0,24.6,268.0,248.0,49.0,77.0,52.0,65.0,140.0,125.0,175.0,72.0,4679.0,49.0,2279.0,1182.0,29.0,843.0,510.0,335.0,143.0,11.0,21.0,333.0,132.0,62.0,1002.0,711.0,582.0,632.0,290.0,507.0,479.0,894.0,1146.0,6243.0,172.0,272.0,104.0,389.0,1304.0,2144.0,1273.0,840.0,202180.0,8.0,0.0,6024.0,894.0,4.0,5130.0,35.0,780.0,770.0,4835.0,657.0,498.0,832.0,1331.0,5462.0,770.0,966.0,634.0,2269.0,132.0,90.0,108.0,57.0,192.0,1278.0,311.0,2168.0,6617.0,396.0,7013.0,4892.0,6515.0,0.0,7013.0,256.0,331.0,664.0,1382.0,223.0,55.0,1434.0,295.0,380.0,747.0,286.0,394.0,170.0,1679.0,984.0,1685.0,1156.0,1113.0,1679.0,1156.0,637.0,665.0,732.0,2767.0,334.0,,,
42105,2014-01-01,16937.0,6523.0,8475.0,8462.0,46.7,444.0,492.0,569.0,327.0,170.0,77.0,94.0,317.0,419.0,438.0,384.0,445.0,515.0,636.0,639.0,312.0,390.0,258.0,326.0,494.0,347.0,173.0,209.0,460.0,464.0,483.0,311.0,143.0,28.0,129.0,253.0,408.0,397.0,385.0,459.0,508.0,625.0,687.0,246.0,423.0,266.0,396.0,422.0,376.0,266.0,327.0,16365.0,16818.0,16440.0,,,13824.0,12176.0,8316.0,,,,,,62.0,68.0,58.0,218.0,32.0,0.0,196.0,218.0,16719.0,0.0,7.0,6.0,15.0,18.0,6.0,1120.0,1309.0,42821.0,24087.0,399.0,476.0,480.0,433.0,451.0,407.0,372.0,396.0,289.0,510.0,752.0,727.0,404.0,204.0,129.0,94.0,16686.0,2392.0,0.4306,12998.0,683.0,66600.0,105500.0,177000.0,6523.0,1494.0,6475.0,86.0,82.0,10369.0,74.0,256.0,162.0,143.0,51.0,121.0,19.0,1803.0,49.0,91.0,762.0,1968.0,3439.0,2203.0,4320.0,949.0,0.0,8.0,3550.0,696.0,509.0,28.6,175.0,305.0,142.0,68.0,98.0,168.0,149.0,190.0,96.0,103.0,5029.0,4.0,2278.0,1386.0,326.0,1071.0,640.0,312.0,256.0,46.0,26.0,431.0,179.0,136.0,1462.0,938.0,720.0,671.0,365.0,795.0,353.0,540.0,367.0,6211.0,302.0,344.0,198.0,469.0,2294.0,2609.0,836.0,315.0,159025.0,1.0,0.0,5793.0,711.0,0.0,5082.0,271.0,1000.0,1164.0,5108.0,736.0,556.0,1333.0,1444.0,5781.0,1164.0,1419.0,718.0,3069.0,215.0,204.0,141.0,19.0,239.0,1304.0,370.0,2492.0,6631.0,468.0,7101.0,6723.0,6555.0,2.0,7099.0,440.0,402.0,477.0,1525.0,159.0,326.0,1123.0,320.0,354.0,594.0,383.0,479.0,49.0,1937.0,880.0,1563.0,1075.0,1176.0,1937.0,1075.0,765.0,840.0,846.0,3258.0,316.0,,,
42053,2014-01-01,7351.0,1631.0,5807.0,1544.0,40.4,81.0,51.0,123.0,232.0,55.0,33.0,80.0,372.0,825.0,761.0,628.0,530.0,242.0,335.0,307.0,146.0,141.0,127.0,138.0,258.0,183.0,99.0,60.0,80.0,77.0,94.0,10.0,9.0,2.0,3.0,8.0,18.0,27.0,41.0,47.0,56.0,68.0,108.0,35.0,100.0,87.0,165.0,192.0,191.0,47.0,79.0,4518.0,7318.0,7246.0,,,6780.0,6041.0,4415.0,,,,,,49.0,2159.0,23.0,466.0,12.0,4.0,169.0,466.0,6885.0,0.0,3.0,215.0,126.0,45.0,32.0,307.0,435.0,38383.0,15360.0,84.0,110.0,133.0,126.0,116.0,141.0,154.0,147.0,78.0,133.0,163.0,138.0,64.0,19.0,13.0,12.0,3228.0,467.0,0.3799,8421.0,571.0,56600.0,89500.0,154800.0,1631.0,230.0,6790.0,85.0,32.0,6640.0,41.0,7.0,12.0,28.0,6.0,67.0,5.0,1615.0,50.0,72.0,322.0,1973.0,844.0,680.0,951.0,252.0,3.0,0.0,748.0,161.0,420.0,24.5,75.0,31.0,10.0,8.0,10.0,17.0,14.0,24.0,20.0,21.0,1401.0,8.0,457.0,1141.0,144.0,172.0,88.0,70.0,14.0,1.0,3.0,84.0,4.0,0.0,219.0,83.0,84.0,69.0,25.0,77.0,68.0,97.0,83.0,805.0,62.0,37.0,15.0,89.0,641.0,693.0,155.0,53.0,22475.0,1.0,0.0,727.0,42.0,0.0,685.0,4098.0,212.0,295.0,2073.0,543.0,118.0,416.0,1062.0,3360.0,295.0,254.0,153.0,1171.0,63.0,78.0,60.0,32.0,167.0,618.0,153.0,1171.0,866.0,58.0,924.0,5856.0,842.0,0.0,924.0,27.0,49.0,71.0,185.0,55.0,9.0,128.0,38.0,106.0,79.0,21.0,67.0,31.0,242.0,108.0,183.0,146.0,187.0,242.0,146.0,121.0,205.0,345.0,794.0,57.0,,,
42113,2014-01-01,6177.0,2721.0,3253.0,2924.0,53.1,100.0,77.0,100.0,97.0,151.0,46.0,32.0,118.0,144.0,141.0,174.0,174.0,222.0,259.0,291.0,123.0,205.0,84.0,158.0,228.0,156.0,79.0,94.0,102.0,108.0,70.0,68.0,70.0,24.0,19.0,81.0,143.0,124.0,123.0,158.0,154.0,244.0,312.0,92.0,166.0,103.0,143.0,232.0,161.0,95.0,132.0,5737.0,6132.0,6080.0,,,5579.0,4914.0,3249.0,,,,,,63.0,185.0,26.0,134.0,16.0,12.0,61.0,134.0,6043.0,0.0,0.0,7.0,0.0,46.0,11.0,420.0,599.0,47346.0,28665.0,111.0,167.0,186.0,215.0,178.0,152.0,122.0,146.0,151.0,211.0,302.0,285.0,244.0,126.0,74.0,51.0,5983.0,801.0,0.4249,6375.0,628.0,91300.0,151800.0,246100.0,2721.0,486.0,3654.0,59.0,64.0,5296.0,82.0,46.0,52.0,52.0,12.0,12.0,85.0,734.0,15.0,55.0,287.0,1969.0,1288.0,1108.0,1613.0,333.0,0.0,6.0,722.0,106.0,484.0,23.2,65.0,50.0,39.0,27.0,6.0,63.0,70.0,64.0,78.0,24.0,2235.0,14.0,996.0,632.0,22.0,228.0,151.0,53.0,85.0,13.0,0.0,77.0,33.0,25.0,371.0,194.0,244.0,154.0,101.0,379.0,222.0,331.0,395.0,2391.0,54.0,240.0,36.0,160.0,766.0,1138.0,476.0,181.0,77635.0,1.0,0.0,2317.0,301.0,0.0,2016.0,466.0,373.0,575.0,2097.0,233.0,196.0,567.0,505.0,2385.0,575.0,534.0,276.0,1173.0,84.0,119.0,31.0,47.0,104.0,527.0,188.0,1100.0,2698.0,235.0,2933.0,2646.0,2631.0,0.0,2933.0,216.0,181.0,304.0,582.0,72.0,39.0,415.0,101.0,141.0,276.0,140.0,190.0,41.0,682.0,556.0,490.0,445.0,525.0,682.0,445.0,136.0,152.0,284.0,845.0,147.0,,,
42031,2014-01-01,38827.0,15824.0,18962.0,19865.0,41.2,1016.0,1155.0,890.0,639.0,776.0,405.0,351.0,958.0,1288.0,974.0,1102.0,877.0,1193.0,1328.0,1355.0,516.0,878.0,437.0,715.0,736.0,571.0,444.0,358.0,944.0,965.0,1035.0,665.0,819.0,257.0,473.0,1132.0,1225.0,923.0,1012.0,1080.0,1221.0,1282.0,1372.0,671.0,790.0,462.0,719.0,887.0,767.0,615.0,549.0,37298.0,38461.0,37696.0,,,32421.0,26347.0,19087.0,,,,,,254.0,370.0,207.0,334.0,83.0,42.0,472.0,334.0,38493.0,11.0,1.0,22.0,8.0,12.0,23.0,2460.0,2714.0,45625.0,24293.0,1241.0,870.0,1123.0,1114.0,873.0,937.0,857.0,783.0,789.0,1395.0,1544.0,1928.0,1238.0,480.0,406.0,246.0,37563.0,6093.0,0.433,20447.0,628.0,73000.0,114300.0,182900.0,15824.0,4910.0,4623.0,693.0,236.0,14588.0,159.0,706.0,632.0,643.0,367.0,202.0,617.0,2529.0,177.0,348.0,1162.0,1969.0,8042.0,5802.0,10022.0,2266.0,28.0,26.0,7309.0,1345.0,470.0,27.0,611.0,969.0,441.0,237.0,258.0,411.0,460.0,753.0,505.0,265.0,10914.0,14.0,5153.0,4461.0,698.0,2309.0,1682.0,964.0,634.0,39.0,45.0,627.0,226.0,180.0,3480.0,2583.0,2087.0,2620.0,1075.0,1519.0,857.0,1059.0,1249.0,16529.0,878.0,723.0,653.0,1426.0,4983.0,6176.0,2340.0,899.0,377525.0,6.0,2.0,15461.0,1283.0,4.0,14178.0,1279.0,2375.0,3427.0,10533.0,1177.0,1891.0,2218.0,2748.0,11859.0,3427.0,4814.0,2543.0,5770.0,393.0,572.0,429.0,111.0,404.0,2794.0,567.0,5270.0,17636.0,1240.0,18883.0,13538.0,17252.0,7.0,18876.0,497.0,1688.0,1206.0,5309.0,580.0,126.0,2309.0,934.0,789.0,1791.0,950.0,1117.0,340.0,5649.0,1920.0,3166.0,2980.0,3921.0,5649.0,2980.0,1787.0,1398.0,1648.0,9029.0,2994.0,,,
42023,2014-01-01,4686.0,2232.0,2369.0,2317.0,52.2,134.0,104.0,108.0,81.0,57.0,11.0,27.0,52.0,131.0,108.0,52.0,172.0,138.0,180.0,211.0,53.0,168.0,68.0,143.0,149.0,117.0,29.0,76.0,66.0,83.0,101.0,102.0,65.0,11.0,21.0,58.0,89.0,93.0,114.0,96.0,132.0,212.0,192.0,133.0,105.0,90.0,92.0,147.0,122.0,45.0,148.0,4509.0,4603.0,4552.0,,,4051.0,3605.0,2379.0,,,,,,36.0,3.0,38.0,41.0,20.0,7.0,68.0,41.0,4645.0,0.0,0.0,0.0,0.0,0.0,0.0,318.0,410.0,41485.0,25898.0,154.0,149.0,161.0,161.0,141.0,136.0,154.0,160.0,138.0,188.0,233.0,191.0,117.0,68.0,50.0,31.0,4640.0,665.0,0.4243,4438.0,603.0,47500.0,75800.0,114400.0,2232.0,605.0,2206.0,46.0,76.0,3381.0,42.0,151.0,149.0,15.0,0.0,29.0,100.0,571.0,10.0,74.0,509.0,1957.0,924.0,1003.0,1229.0,367.0,0.0,5.0,779.0,238.0,400.0,28.5,59.0,90.0,67.0,49.0,39.0,94.0,60.0,75.0,48.0,24.0,1627.0,0.0,673.0,404.0,151.0,226.0,44.0,23.0,21.0,0.0,0.0,182.0,108.0,107.0,1029.0,281.0,164.0,85.0,66.0,139.0,60.0,133.0,101.0,2058.0,153.0,28.0,67.0,219.0,864.0,811.0,241.0,97.0,37065.0,4.0,4.0,1878.0,220.0,0.0,1658.0,85.0,342.0,423.0,1484.0,268.0,92.0,390.0,323.0,1708.0,423.0,381.0,151.0,1000.0,130.0,52.0,18.0,15.0,30.0,386.0,119.0,750.0,2152.0,80.0,2232.0,1819.0,2086.0,0.0,2232.0,115.0,160.0,88.0,396.0,39.0,19.0,731.0,87.0,119.0,188.0,88.0,97.0,25.0,498.0,228.0,600.0,399.0,427.0,498.0,399.0,146.0,170.0,265.0,751.0,69.0,,,
42035,2014-01-01,39074.0,14744.0,19278.0,19796.0,38.8,1068.0,1215.0,1064.0,694.0,943.0,410.0,461.0,1032.0,1231.0,1007.0,1020.0,1017.0,1128.0,1247.0,1351.0,475.0,702.0,487.0,637.0,744.0,537.0,364.0,444.0,1017.0,1094.0,1158.0,658.0,863.0,447.0,593.0,1100.0,1019.0,979.0,972.0,1069.0,1178.0,1211.0,1451.0,515.0,650.0,525.0,637.0,809.0,665.0,544.0,642.0,37217.0,38712.0,37819.0,,,31956.0,25257.0,18222.0,,,,,,252.0,566.0,298.0,577.0,49.0,0.0,361.0,577.0,38497.0,58.0,12.0,33.0,22.0,11.0,22.0,2266.0,2462.0,49234.0,23780.0,1241.0,647.0,736.0,870.0,807.0,880.0,682.0,951.0,668.0,1291.0,1595.0,1852.0,1209.0,616.0,519.0,180.0,37248.0,6491.0,0.4125,19215.0,724.0,86800.0,130900.0,187100.0,14744.0,4506.0,4471.0,392.0,151.0,13428.0,851.0,827.0,732.0,655.0,221.0,483.0,111.0,1907.0,140.0,272.0,1280.0,1969.0,7609.0,5232.0,9512.0,2364.0,7.0,62.0,7968.0,1352.0,579.0,26.8,373.0,886.0,273.0,186.0,347.0,589.0,550.0,710.0,458.0,134.0,10238.0,21.0,5472.0,4114.0,920.0,2500.0,1798.0,1083.0,638.0,42.0,35.0,702.0,277.0,269.0,4199.0,2594.0,2539.0,1557.0,945.0,1636.0,1232.0,954.0,1278.0,16934.0,1056.0,590.0,869.0,1434.0,4418.0,5593.0,2340.0,959.0,389890.0,9.0,9.0,15538.0,1909.0,0.0,13629.0,1760.0,2609.0,3105.0,10234.0,1282.0,1255.0,2234.0,2847.0,11492.0,3105.0,3761.0,1688.0,6125.0,594.0,560.0,254.0,103.0,382.0,2403.0,607.0,4903.0,17867.0,1069.0,18945.0,13011.0,17524.0,9.0,18936.0,412.0,1620.0,1231.0,4287.0,606.0,234.0,2967.0,978.0,841.0,2370.0,1093.0,857.0,371.0,4848.0,2157.0,3529.0,3637.0,3696.0,4848.0,3637.0,1688.0,1834.0,1612.0,9537.0,3095.0,,,
42111,2014-01-01,74949.0,29708.0,39038.0,35911.0,45.9,1757.0,1808.0,2126.0,1401.0,720.0,502.0,414.0,1425.0,2536.0,2322.0,2580.0,2466.0,2818.0,2946.0,3023.0,1345.0,1637.0,965.0,1455.0,1871.0,1308.0,805.0,808.0,1677.0,1973.0,1843.0,1256.0,612.0,286.0,384.0,1079.0,1799.0,1764.0,2013.0,1939.0,2247.0,2626.0,3000.0,1081.0,1613.0,960.0,1535.0,1846.0,1607.0,1189.0,1582.0,70744.0,74243.0,72817.0,,,62973.0,55686.0,39755.0,,,,,,365.0,1848.0,297.0,1104.0,46.0,46.0,840.0,1104.0,73845.0,0.0,26.0,326.0,86.0,147.0,25.0,5255.0,5803.0,48224.0,25294.0,1773.0,1660.0,1830.0,1666.0,2030.0,1791.0,1627.0,1546.0,1505.0,2726.0,3191.0,3935.0,2130.0,1068.0,595.0,635.0,69779.0,8681.0,0.4322,38421.0,601.0,65800.0,104300.0,165900.0,29708.0,6463.0,8713.0,448.0,343.0,27073.0,2165.0,1051.0,980.0,1105.0,731.0,510.0,361.0,4443.0,205.0,671.0,2632.0,1965.0,16338.0,9518.0,20190.0,4478.0,6.0,79.0,13841.0,2480.0,437.0,26.8,1113.0,1024.0,414.0,348.0,554.0,526.0,553.0,832.0,689.0,410.0,23245.0,46.0,11239.0,5526.0,613.0,4172.0,2935.0,1883.0,955.0,51.0,46.0,1237.0,460.0,402.0,5238.0,4295.0,5132.0,4527.0,1973.0,3518.0,1632.0,2252.0,1681.0,30248.0,977.0,1725.0,1072.0,2284.0,8843.0,11392.0,5103.0,2086.0,744595.0,27.0,16.0,28866.0,3078.0,0.0,25788.0,5151.0,4459.0,5710.0,24785.0,3244.0,2199.0,4787.0,6647.0,27921.0,5710.0,6544.0,2918.0,12490.0,817.0,1291.0,502.0,275.0,978.0,6450.0,1456.0,11769.0,32603.0,1877.0,34485.0,28488.0,31973.0,5.0,34480.0,1468.0,2731.0,2587.0,7215.0,1440.0,288.0,4453.0,1832.0,1586.0,3554.0,2336.0,2296.0,817.0,9460.0,4167.0,6376.0,6316.0,6284.0,9460.0,6316.0,2951.0,2951.0,3519.0,13048.0,1817.0,,,
42115,2014-01-01,41340.0,17347.0,20794.0,20546.0,48.2,950.0,987.0,1292.0,768.0,445.0,244.0,241.0,700.0,1042.0,1084.0,1069.0,1059.0,1349.0,1691.0,1987.0,694.0,880.0,643.0,764.0,1180.0,794.0,614.0,317.0,918.0,1118.0,1072.0,739.0,372.0,215.0,157.0,592.0,986.0,1011.0,1090.0,981.0,1351.0,1616.0,1871.0,642.0,955.0,607.0,870.0,1214.0,970.0,497.0,702.0,39829.0,40972.0,40301.0,,,34539.0,30530.0,21358.0,,,,,,214.0,289.0,138.0,698.0,27.0,7.0,352.0,698.0,40642.0,9.0,3.0,9.0,18.0,48.0,31.0,2943.0,3491.0,53059.0,29630.0,979.0,850.0,923.0,984.0,977.0,904.0,945.0,939.0,773.0,1436.0,1848.0,2216.0,1421.0,832.0,710.0,610.0,40870.0,5012.0,0.4444,23323.0,733.0,93100.0,162500.0,248100.0,17347.0,4063.0,5976.0,147.0,281.0,18493.0,233.0,615.0,678.0,303.0,54.0,183.0,151.0,2613.0,146.0,442.0,812.0,1973.0,9024.0,5829.0,11518.0,1872.0,9.0,12.0,7844.0,1623.0,553.0,28.1,661.0,712.0,305.0,250.0,284.0,399.0,435.0,435.0,355.0,227.0,13284.0,99.0,6628.0,3679.0,341.0,2151.0,1435.0,731.0,604.0,93.0,7.0,716.0,232.0,202.0,2414.0,1674.0,1960.0,2197.0,1214.0,2632.0,1821.0,1473.0,1692.0,17077.0,401.0,855.0,295.0,957.0,5239.0,6961.0,2975.0,1215.0,483700.0,22.0,19.0,16581.0,1613.0,0.0,14968.0,311.0,2621.0,3434.0,12604.0,1692.0,1478.0,3572.0,3301.0,13897.0,3434.0,3956.0,2013.0,7885.0,511.0,671.0,362.0,133.0,672.0,3270.0,982.0,6601.0,18265.0,1187.0,19452.0,15087.0,17932.0,0.0,19452.0,1013.0,1294.0,1613.0,4103.0,698.0,201.0,2310.0,999.0,562.0,2202.0,1366.0,1210.0,694.0,5011.0,2607.0,3768.0,3703.0,3176.0,5011.0,3703.0,1770.0,1837.0,2038.0,7443.0,774.0,,,
42059,2014-01-01,37144.0,14211.0,19304.0,17840.0,42.0,993.0,987.0,1048.0,640.0,527.0,308.0,263.0,808.0,1412.0,1293.0,1112.0,1305.0,1312.0,1457.0,1429.0,589.0,745.0,449.0,697.0,837.0,502.0,277.0,314.0,946.0,991.0,989.0,585.0,558.0,337.0,210.0,591.0,993.0,944.0,1020.0,1047.0,1162.0,1213.0,1392.0,554.0,712.0,518.0,679.0,778.0,597.0,450.0,574.0,34741.0,36713.0,36070.0,,,30834.0,26363.0,19691.0,,,,,,113.0,1124.0,124.0,562.0,34.0,11.0,548.0,562.0,36582.0,0.0,0.0,223.0,132.0,24.0,10.0,2482.0,2591.0,54121.0,26902.0,926.0,703.0,863.0,678.0,629.0,951.0,663.0,682.0,525.0,1118.0,1537.0,1931.0,1326.0,683.0,554.0,442.0,33617.0,4778.0,0.4402,16683.0,655.0,64500.0,114400.0,192300.0,14211.0,3674.0,2472.0,232.0,169.0,11552.0,606.0,299.0,294.0,351.0,342.0,137.0,98.0,3003.0,182.0,420.0,1372.0,1961.0,7244.0,4758.0,9453.0,2472.0,25.0,10.0,7179.0,1673.0,479.0,23.5,498.0,328.0,232.0,158.0,298.0,480.0,298.0,461.0,483.0,438.0,10537.0,7.0,4903.0,3378.0,546.0,2172.0,1304.0,714.0,535.0,20.0,35.0,868.0,163.0,159.0,2015.0,1715.0,1680.0,1443.0,1051.0,1752.0,1500.0,1182.0,1471.0,13809.0,373.0,483.0,355.0,1126.0,4328.0,5470.0,2260.0,1027.0,375640.0,19.0,19.0,13205.0,1283.0,0.0,11922.0,3517.0,2058.0,3198.0,10357.0,1393.0,1272.0,2563.0,3317.0,12222.0,3198.0,3813.0,1612.0,6014.0,359.0,590.0,273.0,116.0,531.0,2943.0,720.0,5532.0,14652.0,678.0,15349.0,15485.0,14292.0,19.0,15330.0,1530.0,1038.0,1466.0,4058.0,350.0,123.0,876.0,639.0,896.0,1584.0,839.0,1000.0,253.0,4656.0,2405.0,2005.0,2819.0,2767.0,4656.0,2819.0,1674.0,1676.0,1535.0,7654.0,1749.0,,,
